web_scraper_order,web_scraper_start_url,categories,categories_href,category_name,category_description,category_emoji_list,category_emoji_list_href,emoji,emoji_name,emoji_description
"1573459079-10278","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","🌓 First Quarter Moon","https://emojipedia.org/first-quarter-moon-symbol/","🌓","First Quarter Moon","A first quarter moon, the third of the eight phases of the moon. Depicts the moon as a cratered disc, its right half illuminated in gold or silver, its remainder dark.
May be used to represent the moon more generally, nighttime, outer space, and astronomy. May also be used to convey enchanting or eerie feelings.
See also 🌛 First Quarter Moon Face. Not to be confused with 🌗 Last Quarter Moon, though their applications may overlap. Used as part of the Moon Emoji Creep meme.
Samsung’s design once resembled a full moon with stars and previously displayed as a first quarter moon in a night sky with stars.

First Quarter Moon was approved as part of Unicode 6.0 in 2010
under the name “First Quarter Moon Symbol”
and added to Emoji 1.0 in 2015."
"1573456660-9271","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇵🇭 Flag: Philippines","https://emojipedia.org/flag-for-philippines/","🇵🇭","🇭 Flag: Philippines","The flag for Philippines, which may show as the letters PH on some platforms.
The Flag: Philippines emoji is a sequence of the 🇵 Regional Indicator Symbol Letter P and 🇭 Regional Indicator Symbol Letter H emojis.
These display as a single emoji on supported platforms.

Flag: Philippines was added to Emoji 1.0 in 2015."
"1573458305-9906","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","💣 Bomb","https://emojipedia.org/bomb/","💣","Bomb","A cartoon-styled bomb, depicted as a black ball with a burning fuse.
Commonly used for various figurative bombs or explosions, e.g., slang bomb, a “home run” in baseball or softball; ""excellent"" or ""attractive."" Sometimes applied in contexts of war, weapons, or violence.
Earlier designs from SoftBank and au by KDDI animated the bomb as exploding.

Bomb was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.



 Copy and paste this emoji:

Copy"
"1573458439-9970","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇
Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚇 Metro","https://emojipedia.org/metro/","🚇","Metro","A metro: frequent underground train found in built-up areas with high populations.
This emoji is generally displayed as a forward-facing train, with some platforms also displaying a tunnel as a circle surrounding the train. Apple's artwork shows the characters IL2 which may be a reference to one of the more locked-down buildings at Apple's Infinite Loop Headquarters during iPhone development (IL2 = Infinite Loop 2).

Metro was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573456534-9213","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇺🇸 Flag: United States","https://emojipedia.org/flag-for-united-states/","🇺🇸","🇸 Flag: United States","The flag for the United States of America (USA), which may show as the letters US on some platforms.
The Flag: United States emoji is a sequence of the 🇺 Regional Indicator Symbol Letter U and 🇸 Regional Indicator Symbol Letter S emojis.
These display as a single emoji on supported platforms.

Flag: United States was added to Emoji 1.0 in 2015."
"1573459316-10393","https://emojipedia.org/","🐻 Animals & Nature","https://emojipedia.org/nature/","🐻
Animals & Nature","Emojis for animals, nature, and weather.","🐆 Leopard","https://emojipedia.org/leopard/","🐆","Leopard","A leopard, a large cat with a yellowish-brown coat and black-and-gold spots. Depicted in full profile on all fours facing left, with a long tail and its distinctive pattern.
Sometimes used to represent jaguars, panthers, cheetahs, and related cats. May also be used to indicate leopard prints in fashion. Not to be confused with 🐅 Tiger.
Google’s design is noticeably more cartoon-styled. Microsoft’s design was previously solid yellowish-brown in color, resembling a cougar or mountain lion.

Leopard was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
"
"1573459602-10531","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🦹‍♀️ Woman Supervillain","https://emojipedia.org/woman-supervillain/","🦹‍♀️","‍♀️ Woman Supervillain","The Woman Supervillain emoji is a sequence of the 🦹 Supervillain and ♀ Female Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Supervillain was added to Emoji 11.0 in 2018."
"1573458030-9772","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","📍 Round Pushpin","https://emojipedia.org/round-pushpin/","📍","Round Pushpin","A pushpin, as used to indicate a location on a map. Generally depicted as an upright pin with a red, round head.
Commonly used to indicate locations and notably featured in the Pushpin Emoji Detour and Distance Between memes on Twitter. Also used unofficially as an icon for Pinterest or Google Maps.
Facebook’s pin is oriented at a 45° angle, as were previous designs on several other platforms.
Not to be confused with 📌 Pushpin, though their applications may overlap.

Round Pushpin was approved as part of Unicode 6.0 in 2010

and added to Emoji 1.0 in 2015."
"1573456800-9336","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇯🇲 Flag: Jamaica","https://emojipedia.org/flag-for-jamaica/","🇯🇲","🇲 Flag: Jamaica","The flag for Jamaica, which may show as the letters JM on some platforms.
The Flag: Jamaica emoji is a sequence of the 🇯 Regional Indicator Symbol Letter J and 🇲 Regional Indicator Symbol Letter M emojis.
These display as a single emoji on supported platforms.

Flag: Jamaica was added to Emoji 1.0 in 2015."
"1573457051-9435","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇧🇦 Flag: Bosnia & Herzegovina","https://emojipedia.org/flag-for-bosnia-herzegovina/","🇧🇦","🇦 Flag: Bosnia & Herzegovina","The Flag: Bosnia & Herzegovina emoji is a sequence of the 🇧 Regional Indicator Symbol Letter B and 🇦 Regional Indicator Symbol Letter A emojis.
These display as a single emoji on supported platforms.

Flag: Bosnia & Herzegovina was added to Emoji 1.0 in 2015."
"1573458707-10099","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","⚽
Activity","Emojis for sports, music, the arts, hobbies and other activities.","🤸‍♀️ Woman Cartwheeling","https://emojipedia.org/woman-doing-cartwheel/","🤸‍♀️","‍♀️ Woman Cartwheeling","The Woman Cartwheeling emoji is a sequence of the 🤸 Person Doing Cartwheel and ♀ Female Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Woman Cartwheeling was added to Emoji 4.0 in 2016."
"1573458723-10107","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","⚽
Activity","Emojis for sports, music, the arts, hobbies and other activities.","🚴 Person Biking","https://emojipedia.org/bicyclist/","🚴","Person Biking","A person riding a bicycle for leisure, sport or transport. Intended to be gender-neutral.

Person Biking was approved as part of Unicode 6.0 in 2010
under the name “Bicyclist”
and added to Emoji 1.0 in 2015."
"1573457298-9538","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","❓ Question Mark","https://emojipedia.org/black-question-mark-ornament/","❓","Question Mark","Question Mark was approved as part of Unicode 6.0 in 2010
under the name “Black Question Mark Ornament”
and added to Emoji 1.0 in 2015."
"1573458299-9903","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🔪 Kitchen Knife","https://emojipedia.org/hocho/","🔪","Kitchen Knife","A knife with a long steel blade, as a chef uses to slice meat or vegetables. Depicted with a black or brown handle and positioned at a 45° angle, often with its point at the lower right.
May be used for content concerning cooking and food preparation, but often represents various senses of cutting and stabbing. Its Unicode name, Hocho, means “kitchen knife” in Japanese and refers to a variety of knives used in Japan.
Not to be confused with 🗡️ Dagger or ⚔️ Crossed Swords.

Kitchen Knife was approved as part of Unicode 6.0 in 2010
under the name “Hocho”
and added to Emoji 1.0 in 2015."
"1573457027-9424","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇧🇳 Flag: Brunei","https://emojipedia.org/flag-for-brunei/","🇧🇳","🇳 Flag: Brunei","The flag for Brunei Darussalam, which may show as the letters BN on some platforms.
The Flag: Brunei emoji is a sequence of the 🇧 Regional Indicator Symbol Letter B and 🇳 Regional Indicator Symbol Letter N emojis.
These display as a single emoji on supported platforms.

Flag: Brunei was added to Emoji 1.0 in 2015."
"1573459646-10552","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👷‍♂️ Man Construction Worker","https://emojipedia.org/male-construction-worker/","👷‍♂️","‍♂️ Man Construction Worker","The male version of the 👷 Construction Worker emoji. Currently identical in appearance to the non-gendered base emoji.
The Man Construction Worker emoji is a sequence of the 👷 Construction Worker and ♂ Male Sign emojis.
These are combined using a zero width joiner between each character and display as a single emoji on supported platforms.

Man Construction Worker was added to Emoji 4.0 in 2016."
"1573457355-9565","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","🔆 Bright Button","https://emojipedia.org/high-brightness-symbol/","🔆","Bright Button","An icon of a outlined sun, used when increasing the brightness of a screen. Appears larger than the Low Brightness Symbol.

Bright Button was approved as part of Unicode 6.0 in 2010
under the name “High Brightness Symbol”
and added to Emoji 1.0 in 2015."
"1573456857-9362","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇬🇵 Flag: Guadeloupe","https://emojipedia.org/flag-for-guadeloupe/","🇬🇵","🇵 Flag: Guadeloupe","The flag for Guadeloupe, which may show as the letters GP on some platforms.
The latest versions of iOS and OS X use the local unofficial flag, based on the coat of arms of Guadeloupe’s capital Basse-Terre. This is used instead of the Flag For France, which is the official flag of Guadeloupe.
The Flag: Guadeloupe emoji is a sequence of the 🇬 Regional Indicator Symbol Letter G and 🇵 Regional Indicator Symbol Letter P emojis.
These display as a single emoji on supported platforms.


Flag: Guadeloupe was added to Emoji 1.0 in 2015."
"1573458429-9965","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇
Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🚞 Mountain Railway","https://emojipedia.org/mountain-railway/","🚞","Mountain Railway","A train and railway in the mountains. Displayed as a funicular in Microsoft’s artwork, or a regular train on other platforms.
Android displays this train front-facing, leaving a tunnel, which appears similarly to the metro emoji at small sizes.

Mountain Railway was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015.
"
"1573456695-9287","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇳🇨 Flag: New Caledonia","https://emojipedia.org/flag-for-new-caledonia/","🇳🇨","🇨 Flag: New Caledonia","The flag for New Caledonia, which may show as the letters NC on some platforms.
The Flag: New Caledonia emoji is a sequence of the 🇳 Regional Indicator Symbol Letter N and 🇨 Regional Indicator Symbol Letter C emojis.
These display as a single emoji on supported platforms.

Flag: New Caledonia was added to Emoji 1.0 in 2015."
"1573456880-9373","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇬🇦 Flag: Gabon","https://emojipedia.org/flag-for-gabon/","🇬🇦","🇦 Flag: Gabon","The flag for Gabon, which may show as the letters GA on some platforms.
The Flag: Gabon emoji is a sequence of the 🇬 Regional Indicator Symbol Letter G and 🇦 Regional Indicator Symbol Letter A emojis.
These display as a single emoji on supported platforms.

Flag: Gabon was added to Emoji 1.0 in 2015."
"1573457031-9426","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇧🇱 Flag: St. Barthélemy","https://emojipedia.org/flag-for-st-barthelemy/","🇧🇱","🇱 Flag: St. Barthélemy","The Flag: St. Barthélemy emoji is a sequence of the 🇧 Regional Indicator Symbol Letter B and 🇱 Regional Indicator Symbol Letter L emojis.
These display as a single emoji on supported platforms.

Flag: St. Barthélemy was added to Emoji 1.0 in 2015."
"1573458021-9768","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","📐 Triangular Ruler","https://emojipedia.org/triangular-ruler/","📐","Triangular Ruler","A triangle or set square, as used by engineers or architects to draw straight lines at angles. Variously depicted as a metal, wood, or plastic right triangle with length markings, its hypotenuse to the right.
Commonly applied to a range of disciplines, including art, design, building, architecture, and STEM (science, technology, engineering, and mathematics). May also represent various concepts of angles and measurement.

Triangular Ruler was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573457289-9534","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","© Copyright","https://emojipedia.org/copyright-sign/","©️","Copyright","Copyright was approved as part of Unicode 1.1 in 1993
under the name “Copyright Sign”
and added to Emoji 1.0 in 2015."
"1573457141-9477","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","⬛ Black Large Square","https://emojipedia.org/black-large-square/","⬛","Black Large Square","Black Large Square was approved as part of Unicode 5.1 in 2008
and added to Emoji 1.0 in 2015."
"1573458052-9783","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","🗂 Card Index Dividers","https://emojipedia.org/card-index-dividers/","🗂️","️ Card Index Dividers","A set of tabbed dividers or file guides, as used to organize a card index or file box. Depicted with three or more multicolored tabs on manila paper.
Commonly used for various content concerning paper or computer files, organization, and various types of data, information, and professional or academic work.
WhatsApp’s design features tabbed index cards. Samsung’s design previously suggested a blue, multi-tabbed file folder.

Card Index Dividers was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573457772-9648","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","📣 Megaphone","https://emojipedia.org/cheering-megaphone/","📣","Megaphone","Megaphone was approved as part of Unicode 6.0 in 2010
under the name “Cheering Megaphone”
and added to Emoji 1.0 in 2015."
"1573459843-10648","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🦴 Bone","https://emojipedia.org/bone/","🦴","Bone","A bone which may be used for a dog to chew on, or as a part of the human body. The type of bone is not specified.

Bone was approved as part of Unicode 11.0 in 2018
and added to Emoji 11.0 in 2018."
"1573458663-10078","https://emojipedia.org/","⚽ Activity","https://emojipedia.org/activity/","⚽
Activity","Emojis for sports, music, the arts, hobbies and other activities.","🎖 Military Medal","https://emojipedia.org/military-medal/","🎖️","️ Military Medal","A ribbon and medallion generally awarded to a person in the military for heroic acts.

Military Medal was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573460007-10727","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","😦 Frowning Face With Open Mouth","https://emojipedia.org/frowning-face-with-open-mouth/","😦","Frowning Face With Open Mouth","A yellow face with small, open eyes and an open frown. Samsung’s design shows upper teeth and tongue. Meaning widely varies, but may convey mild sadness, disappointment, concern, and amazement.

Frowning Face With Open Mouth was approved as part of Unicode 6.1 in 2012
and added to Emoji 1.0 in 2015."
"1573458079-9796","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","📬 Open Mailbox With Raised Flag","https://emojipedia.org/open-mailbox-with-raised-flag/","📬","Open Mailbox With Raised Flag","An open, curbside mailbox (letterbox, postbox) with its signal flag raised and a letter in its open slot. Generally depicted in blue or gray with a red flag and white envelope (Google's design is yellow). Used for various content concerning postal deliveries and email.
Indicates in the United States that there is outgoing mail (post) for pickup. May also indicate that incoming mail has been delivered.
Compare 📫 Closed Mailbox With Raised Flag, 📪 Closed Mailbox With Lowered Flag, and 📭 Open Mailbox With Lowered Flag.

Open Mailbox With Raised Flag was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573457234-9507","https://emojipedia.org/","🔣 Symbols","https://emojipedia.org/symbols/","🔣
Symbols","Heart emojis, clocks, arrows, signs and shapes.","🆔 ID Button","https://emojipedia.org/squared-id/","🆔","ID Button","The letters ID in a square.

ID Button was approved as part of Unicode 6.0 in 2010
under the name “Squared ID”
and added to Emoji 1.0 in 2015."
"1573458353-9928","https://emojipedia.org/","🌇 Travel & Places","https://emojipedia.org/travel-places/","🌇
Travel & Places","Emojis for varied scenes, locations, buildings and modes of transport.","🛩 Small Airplane","https://emojipedia.org/small-airplane/","🛩️","️ Small Airplane","A light aircraft which is shown with propellers on some platforms.

Small Airplane was approved as part of Unicode 7.0 in 2014
and added to Emoji 1.0 in 2015."
"1573458902-10193","https://emojipedia.org/","🍔 Food & Drink","https://emojipedia.org/food-drink/","🍔
Food & Drink","Emojis for fruit, vegetables, meals, beverages and utensils.","🌭 Hot Dog","https://emojipedia.org/hot-dog/","🌭","Hot Dog","The cooked sausage of a hot dog in a sliced bun and drizzled with yellow mustard, as eaten at a baseball game. 

Hot Dog was approved as part of Unicode 8.0 in 2015
and added to Emoji 1.0 in 2015."
"1573459878-10665","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","🤜 Right-Facing Fist","https://emojipedia.org/right-facing-fist/","🤜","Right-Facing Fist","A fist pointing right, which may be used in conjunction with the left-facing fist to complete a fist-bump gesture.

Right-Facing Fist was approved as part of Unicode 9.0 in 2016
and added to Emoji 3.0 in 2016."
"1573459425-10445","https://emojipedia.org/","😃 Smileys & People","https://emojipedia.org/people/","😃
Smileys & People","Emojis for smileys, people, families, hand gestures, clothing and accessories.","👔 Necktie","https://emojipedia.org/necktie/","👔","Necktie","A necktie commonly worn at work or formal occasions.
Sometimes displayed as a shirt and tie. Colors and patterns vary by platform.

Necktie was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
"1573456527-9210","https://emojipedia.org/","🎌 Flags","https://emojipedia.org/flags/","🎌
Flags","List of country flag emojis. 🇯🇵 🇰🇷 🇩🇪 🇨🇳 🇺🇸 🇫🇷 🇪🇸 🇮🇹 🇷🇺 🇬🇧 Emoji flags are supported on all major platforms except Windows, which displays two-letter country codes instead of emoji flag images.","🇻🇦 Flag: Vatican City","https://emojipedia.org/flag-for-vatican-city/","🇻🇦","🇦 Flag: Vatican City","The flag for Vatican City, which may show as the letters VA on some platforms.
The Flag: Vatican City emoji is a sequence of the 🇻 Regional Indicator Symbol Letter V and 🇦 Regional Indicator Symbol Letter A emojis.
These display as a single emoji on supported platforms.

Flag: Vatican City was added to Emoji 1.0 in 2015.



Copy and paste this emoji:
 
Copy"
"1573458126-9819","https://emojipedia.org/","💡 Objects","https://emojipedia.org/objects/","💡
Objects","Emojis for household items, celebrations, stationery and miscellaneous objects.","📄 Page Facing Up","https://emojipedia.org/page-facing-up/","📄","Page Facing Up","A white piece of paper, its top right corner curled or dog-eared, with text printed on it, as a business letter or icon for a document on a computer. Commonly used for content concerning various types of documents and writing.
Most platforms indicate text with dark lines. Apple’s design features an easter egg, addressed Dear Katie and signed Take care from John Appleseed with the text of its 1997–2002 Crazy Ones/Think Different ad campaign:
Here’s to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They’re not fond of rules. You can quote them, disagree with them, glorify or vilify them. About the only thing you can’t do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the ones who are crazy enough to think that they can change the world, are the ones who do.
Early designs from au by KDDI show a slanted document, suggesting this emoji may have been originally intended to represent a digital document being sent electronically.
Not to be confused with 📃 Page With Curl or other emojis featuring sheets of paper.

Page Facing Up was approved as part of Unicode 6.0 in 2010
and added to Emoji 1.0 in 2015."
